"","MEAN","RMSE","MAE","MPE","MAPE","MASE"
"Average_Method",-0.0203593071704219,4.83393299258648,3.746772260679,-2.07645798311499,0.0739299589345852,0.660737846800239
"Naive_Method",0.00246313827906897,4.71930677247043,3.76625136013392,0.2474522985101,0.0726246574000489,0.664172957699964
"Seasonal_Naive_Method",-0.0124502683197394,6.43193838634321,5.16139536401047,-1.99125214069156,0.0997595604021023,0.91020457664085
"Drift_Method",0.00479208487376304,4.74876127430239,3.81205179984496,0.47434012857802,0.0733559620086082,0.672249798727846
"Simple_Arima_1",-0.0210624446024628,5.60999664309381,4.20217067622013,-2.35375573651083,0.0837747512143576,0.741046696013924
"Arima_Seasons1_2",-0.0210624446024628,5.60999664309381,4.20217067622013,-2.35375573651083,0.0837747512143576,0.741046696013924
"Arima_Fourier_AIC",-0.022711766143677,4.86547027511229,3.80263326976514,-2.32369020965868,0.0752426406366112,0.670588854626632
"fc_TBATS_Raw_1",0.0331135690245365,5.0984342642783,3.99399646453085,3.02694351846108,0.0728435326158248,0.704335476110212
"fc_TBATS_Season1_2",0.0694080549995844,8.49060590633721,6.90510829755711,5.46520568964839,0.119378525062419,1.21770582010862
"fc_TBATS_Season2_3",0.0312784419917949,4.99976530115298,3.97022495505122,2.94090673477916,0.0732574060369864,0.700143404936419
"fc_TBATS_Season1_3",0.0306059247293555,5.2158586195743,4.3360946142688,2.92094831023384,0.0813848569044253,0.764663987993459
"fc_TBATS_NoSeason",0.0359452940473928,5.38918795474051,4.22339993848462,3.26545442546495,0.0772840238430703,0.744790445583387
"fc_NN_1",-0.0161879004205514,5.77760569071755,4.59361336491916,-2.00722198726432,0.0913924174111299,0.810077045680765
"fc_NN_Raw",-0.0257755813793416,3.76581484395237,2.92225025367261,-2.96402751965166,0.0596905176533486,0.515334588303261
"Combination_uni",0.00964298090521942,3.95667696986064,3.33247511166725,1.03397769157674,0.0634584736568926,0.587677146248374
